"In Action","In Aktion"
"Product Downloads","Downloads zum Produkt"
"Reviews","Kundenbewertungen"
"You wish contact by telephone? We'll call you!","Sie wünschen telefonischen Kontakt? <br>Wir rufen Sie an!"
"All Videos","Alle Videos"
"Your message to us","Ihre Nachricht an uns"
"Phone","Telefon"
"Shopping Cart (%s)","Warenkorb (%s)"
"Always up to date","Immer auf dem neusten Stand"
"<a href=""%s"">1 item in your cart. %s</a>","<a href=""%s"">1 Artikel im Warenkorb %s</a>"
"<a href=""%s"">%s items in your cart. %s</a>","<a href=""%s"">%s Artikel im Warenkorb %s</a>"
"News","News"
"All News","Alle News"
"Products","Produkte"
"Currently out of stock!","Aktuell nicht über SKYLOTEC Händlersystem bestellbar. Bitte kontaktieren Sie SKYLOTEC."
"Only a few available!","Bestellbar über das SKYLOTEC Händlersystem"
"In stock","Bestellbar über das SKYLOTEC Händlersystem"
"Excl. <a href=""%1$s"">shipping</a>","zzgl. <a href=""%1$s"">Versand</a>"
"Product Image %s %s","Produktbild %s %s"
"User Manual %s %s","Gebrauchsanleitung %s %s"
"data_list %s %s","Datenblatt %s %s"
"certificate %s %s","Konformitätserklärung %s %s"
"Flyer %s %s","Flyer %s %s"
"Rate this product","Bewertung schreiben"
"submit","abschicken"
"Price From:","Ab:"
"Show","Zeige"
"per page","pro Seite"
"data_list","Datenblatt"
"certificate","Konformitätserklärung"
"product_image","Produktbild"
"flyer","Flyer"
"user_manual","Anleitung"
"Please choose options","Bitte wählen Sie"
"Please note that you purchase every article in our online store directly from Arendicom GmbH, Skylotec's Checkout-Partner. If you require further information about the Arendicon System, please refer to %se-shop-direct.com.%s","Alle Waren in diesem Shop kaufen Sie von der Arendicom GmbH, dem Checkout-Partner von Skylotec. Für mehr Informationen über das Arendicom-System informieren Sie sich bitte auf %se-shop-direct.com%s."
"Category","Kategorie"
"Product category","Produktkategorie"
"All","Alle"
"Search","Suchen"
"%s file(s) are selected","%s Datei(en) ausgewählt"
"Next","Weiter"
"Previous","Zurück"
"Select country","Länderauswahl"
"Request Download Package","Downloadpaket anfordern"
"Request Download","Download-Link anfordern"
"File Download","Datei-Download"
"Start Download","Download starten"
"We'll send the link to your download package right to your inbox.","Wir senden den Link zu Ihrem Download-Paket direkt an Ihre E-Mail-Adresse."
"Your email address","Ihre E-Mail-Adresse"
"We will inform you via E-mail as soon as your download package is ready.","Sie erhalten eine E-Mail mit dem Link zu Ihrem Download, sobald das Paket bereitsteht."
"Please select at least one file to create a download request.","Bitte markieren Sie wenigstens eine Datei für Ihr Download-Paket."
"%s Years","%s Jahre"
"Thanks for your callback request. We will get in touch with you on %s as soon as possible.","Vielen Dank für Ihre Anfrage. Wir werden uns so schnell wie möglich unter %s bei Ihnen melden."
"Your Callback Request","Ihre Rückruf-Anfrage"
"Your Message","Ihre Anfrage"
"Learn more","Jetzt mehr erfahren"
"Incl.","Inkl."
"<span class=""excl-vat"">Excl.</span> <span class=""vat-percent""></span> VAT","<span class=""excl-vat"">Zzgl.</span> <span class=""vat-percent""></span> MwSt."
"Items %s to %s of %s total","Artikel %s bis %s von %s gesamt"
"With requesting the SKYLOTEC download package, only the right for the use of the image material is transferred","Mit der Anforderung des SKYLOTEC Download-Pakets akzeptieren Sie die folgendenden Nutzungsbedingungen"
"With requesting the SKYLOTEC download, only the right for the use of the image material is transferred","Mit der Anforderung des SKYLOTEC Downloads akzeptieren Sie die folgendenden Nutzungsbedingungen"
"Any and all use, utilization or re-utilization, duplication, dissemination, and/or publication is subject to fees and requires the previous agreement of SKYLOTEC GmbH. This is the case in particular for: A second utilization or second publication, in particular in anthologies, in product-accompanying literature, for advertising measures, or by other reprints; The digitalization, storage, or duplication of the image material on data storage media of any kind (e.g., magnetic, optical, magneto-optical, or electronic storage media such as CD-ROM, CDi, diskettes, hard drives, memory, microfilm, etc.), insofar as these do not only serve the technical processing of the image material; Any duplication or use of the image data on CD-ROM, CDi, diskettes, or similar data storage media; Any inclusion or rendering of the image data in the Internet or in online databases, or in other electronic archives (including to the extent that it concerns internal electronic archives of the customer); The transmission of the digitalized image material via telecommunications or on data storage media which are suitable for public rendering on screens or for the production of hardcopies. Alteration of the image material through photo composing or montage, or through electronic tools to create a new copyright-protected work, is only permitted after previous written agreement from SKYLOTEC. Also, the image material may not be copied by drawing, replicated by means of photography, or otherwise be used as a motif. The publishing house is not permitted to transfer wholly or in part the rights allocated to it to third parties, also not to other corporate groups or subsidiaries of the publishing house. Any use, rendering, or transfer of the image material is only permitted under the condition that the copyright mark of SKYLOTEC is attached to the image material. For every publication, the final draft has to be sent to SKYLOTEC GmbH for approval.","Die Nutzung, Verwendung oder Wiederverwendung, Duplikation, Verbreitung, und/oder Publikation bedarf des Einverständnisses der SKYLOTEC GmbH. Dies gilt besonders für: Eine zweite Nutzung oder zweite Publikation, insbesondere für Sammelbände, Produktdatenblätter, Werbemaßnahmen oder andere Neudrucke; Die Digitalisierung, Speicherung oder Duplikation des Logos auf Datenträgern jeder Art(z.B. magnetische, optische, magnetisch-optische, CD-ROM, CDi, Disketten, Festplatten, Mikrofilm, usw.), insofern diese nicht nur dem technischen Nutzen der Daten dienen; Jegliche Duplikation oder Nutzung der Daten auf CD-ROM, Cdi, Disketten oder ähnlichen Speichermedien; Jegliche Aufnahme oder Einstellung der Daten ins Internet, Online-Datenbanken oder andere elektronische Archive (einschließlich interner Datenbanken des Kunden); Die Übermittlung von digitalisierten Daten per digitalen Datentransfer oder auf Speichermedien, die für die Öffentlichkeit verwendbar sind, oder für die Herstellung von Hardcopies. Die Veränderung digitaler Daten durch Komprimierung oder Fotomontage durch Bildbearbeitungsprogramme, um ein neues Copyright zu erstellen, ist nur mit schriftlicher Bestätigung der SKYLOTEC GmbH möglich. Die Daten dürfen außerdem nicht nachgezeichnet, nachfotografiert oder anderweitig als Motive genutzt werden. Dem Verlagshaus ist es untersagt komplette oder Teile der Nutzungsrechte an Dritte, sowie an andere Konzerne oder Filialen des Verlagshauses, weiterzugeben. Jede Verwendung, Wiedergabe oder Transfer der Daten ist nur unter Angabe des Copyrights von SKYLOTEC weiterzugeben. Für jede Veröffentlichung bedarf es der schriftlichen Einwilligung der SKYLOTEC GmbH."
"Join the SKYLOTEC-Community","Werde Teil der<br> SKYLOTEC-Community"
"More Images","Weitere Bilder"
"Product Image %s %s","Produktbild %s %s"
"Application Image %s %s","Anwendungsbild %s %s"
"Details Image %s %s","Detailbild %s %s"
"Confirm","Bestätigen"
"Please select your country.","Bitte wählen Sie Ihr Land."
"Please enter a name.","Bitte geben Sie Ihren Namen an."
"Please enter a comment.","Bitte geben Sie eine Nachricht an."
"Please enter a valid E-Mail address.","Bitte geben Sie eine gültige E-Mail-Adresse an."
"Country","Land"
"Error","Fehler"
"Unable to send mail.","Mail konnte nicht versendet werden."
"Please enter your phone number.","Bitte geben Sie eine Telefonnummer an."
"Your callback request","Ihr Rückruf"
"Request callback","Rückruf anfordern"
"Please enter a valid phone number.","Bitte geben Sie eine gültige Telefonnummer ein."
"Subject","Thema"
"Zip","PLZ"
"Please enter a subject.","Bitte geben Sie ein Thema ein."
"Please enter your postcode.","Bitte geben Sie Ihre PLZ ein."
"Please enter your country.","Bitte geben Sie Ihr Land an."
"Your Name / Contact person","Ihr Name/ Ansprechpartner"
"Please enter your name / contact person.","Bitte geben Sie Ihren Namen / Ansprechpartner an."
"Topic","Thema des Telefonats"
"* Required","* Pflichtfelder"
"Call back","Rückruf"
"Request call back","Rückruf anfordern"
"We'll call back on","Wir rufen zurück unter"
"Some additional information is required to identify our best matching contact for your request.","Wir benötigen noch folgende Informationen, um Sie direkt mit dem richtigen Ansprechpartner zu verbinden"
"Data sheet","Datenblatt"
"GENERAL","ALLGEMEIN"
"General","Allgemein"
"Date","Datum"
"[change]","[ändern]"
"Further information %s %s","Weitere Informationen %s %s"
"General instruction for use %s %s","Allgemeine Gebrauchsanleitung %s %s"
"from %s to %s","von %s bis %s"
"Temperature","Temperaturbereich"
"Standards","Normen"
"Features","Merkmale"
"Measurements/Weight","Maße/Gewicht"
"Carabiner","Karabiner"
"Material","Material"
"Size","Größe"
"Components","Komponenten"
"Language","Sprache"
"Cart (%s)","Warenkorb (%s)"
"Contact","Kontakt"
"Searchwords","Stichworte"
"Contact form","Kontaktformular"
"Contact us:","Nehmen Sie<br>Kontakt mit uns auf:"
"show more","mehr anzeigen"
"All news","Alle News"
"All videos","Alle Videos"
"Latest video:","Aktuelles Video:"
"receive:","erhalten:"
"Next","Weiter"
"Company","Unternehmen"
"VRC","VRC Schulungen"
"Reset filter","Filter zurücksetzen"
"Product details","Produktdetails"
"Buy","Kaufen"
"Add to Cart","In den Warenkorb"
"Price","Preis"
"Qty","Anzahl"
"Available in %s Variants.","In %s Varianten erhältlich."
"Make your choice:","Treffen Sie Ihre Auswahl:"
"Product images","Bilder zum Produkt"
"Data sheets","Datenblätter"
"Data sheet %s %s","Datenblatt %s %s"
"Conformity declarations","Konformitätserklärungen"
"Conformity declaration %s %s","Konformitätserklärung %s %s"
"User manuals","Gebrauchsanleitungen"
"Miscellaneous","Sonstiges"
"Update","Aktualisieren"
"Clear Cart","Warenkorb löschen"
"Read more","weiterlesen"
"There are no posts matching your selection.","Es stehen keine Artikel entsprechend der Auswahl bereit."
"Informations about %s","Informationen über %s"
"Product details %s","Produktdetails %s"
"This product is currently not available online.","Dieses Produkt ist derzeit online nicht verfügbar."
"Tips & Tricks","Tipps & Tricks"
"About us","Über Uns"
"company/about-us.html","unternehmen/ueber-uns.html"
"Find","Finden"
"sign up here:","Hier anmelden:"
"subscribe to our newsletter", "Jetzt Newsletter abonnieren"
"registration", "Anmeldung"
"subscribe to our newsletter", "Jetzt Newsletter abonnieren"
"registration", "Anmeldung"
"company/news.html","unternehmen/news.html"
"View Detail","Details ansehen"
"Archive","Archiv"
"All branches","Alle Branchen"
"All sports","Alle Sportarten"
"All materials","Alle Materialien"
"Harnesses","Gurte"
"Follow us:","Folge uns:"
"company/about-us/imprint.html","unternehmen/ueber-uns/impressum.html"
"Select all files","alle Dateien auswählen"
"Please select at least one file to download.","Bitte selektieren Sie mindestens eine Datei."
"Download selected files","ausgewählte Dateien herunterladen"
"March","März"
"January","Januar"
"February","Februar"
"May","Mai"
"June","Juni"
"July","Juli"
"October","Oktober"
"December","Dezember"
"Back to overview","Zurück zur Übersicht"
"Fresh and interesting","Aktuell und interessant"
"Page","Seite"
"Athletes","Athleten"
"Athlete","Athlet"
"Go to post","Zum Artikel"
"%s file(s) selected","%s Datei(en) ausgewählt"
"industry/skylopedia/media","industrie/skylopedia/media"
"Click <a href=""%s"">here</a> to continue shopping.","Klicken Sie <a href=""%s"">hier</a>, um den Einkauf fortzusetzen."
"Mobile %s","Mobil %s"
"Accessories for all Applications","Accessoires für alle Bereiche"
"Wind Power","Windkraftanlagen"
"Roofer/Carpenter","Dachdecker/Zimmerer"
"Construction","Bau"
"Arborists","Baumpflege"
"Mining","Bergbau"
"Confined Space/Waste Water","Kanal und Schacht"
"Rope Access/Rigging","Seilzugangstechnik"
"Rescue","Rettung"
"Facade/Window Cleaning","Fassaden-/Fensterreinigung"
"Power Transmission","Fahr/Fahrleitungssystem"
"Telecommunication","Mobilfunk"
"Metal Construction","Stahlbau/Montage"
"Scaffolding","Gerüstbau"
"Anti Corrosion Coating","Korrosionsschutz"
"Fire Brigade","Feuerwehr/THW"
"Rope Courses","Seilgärten"
"High Rack","Hochregal"
"Lift Construction","Aufzugsbau"
"Permanent Fall Arrest Systems","Permanente Absturzsicherung"
"Police/Military/Special Forces","BOS"
"Training","Training"
"Power Supplies","Energieversorgung"
"Elevating/Mobile Work Platforms","Hubarbeitsbühne/IPAF"
"Offshore","Offshore"
"Service","Service/Revisionen"
"Flat Roof","Flachdachbau"
"Alpine climbing","Alpinklettern"
"Bouldering","Bouldern"
"Alpine tour","Hochtouren"
"Climbing gym","Kletterhalle"
"Climbing","Klettern"
"Via ferrata","Klettersteig"
"Sport climbing","Sportklettern"
"Harnesses","Gurte"
"Rope fall-arrest devices","Auffanggeräte"
"Lanyards and work positioning ropes","Verbindungsmittel und Halteseile"
"Ropes","Seile"
"Verbindungsmittel und Halteseile","Karabiner und Hardware"
"Retractable type fall arrester","Höhensicherungsgeräte"
"Descenders and rescue devices","Abseil- und Rettungsgeräte"
"Mobile anchoring devices","Mobile Anschlageinrichtungen"
"Protective clothing","Schutzbekleidung"
"Permanent anchor points","Einzelanschlagpunkte"
"Accessories","Accessoires"
"Helmets","Helme"
"Via Ferrata Sets","Klettersteigsets"
"Loops","Schlingen"
"Carabiners and Hardware","Karabiner und Hardware"
"News archive","Newsarchiv"
"Outdoor fashion for climbers - Enjoy gravity!","Bekleidung für stylebewusste Bergsportler - enjoy gravity!"
"company/about-us/privacy-statement","unternehmen/ueber-uns/datenschutz"
"Privacy Statement","Datenschutz"
"skylotec/reports","skylotec/newsberichte"
"skylotec/about-us/privacy-statement","skylotec/ueber-uns/datenschutz"
"skylotec/about-us/imprint","skylotec/ueber-uns/impressum"
"City","Ort"
"Dimensions","Maße"
"%s days","%s Tage"
"%s weeks","%s Wochen"
"Delivery Time","Lieferzeit"
"Division","Bereich"
"Archive: %s %s","Archiv: %s %s"
"skylotec/about-us/retoure","skylotec/ueber-uns/retoure"
"skylotec/about-us/compliance","skylotec/ueber-uns/compliance"
"Select a model...","Variante wählen..."
"Mage_Catalog::Choose an Option...","Variante wählen..."
"Excl. <a href=""%1$s"">shipping</a>","<a href=""%1$s"">Versandkostenfrei</a>"
"More Information","Mehr Informationen"
"Dependent on availability","Nach Verfügbarkeit"
